Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
01:09.5,2.5,32.27,0,0,34.77,-0.55,6.98,9.3,8.7
01:09.6,0,8.23,0,0,8.23,-0.12,7.49,10.59,9.3
01:09.8,0,0,0,0,0,-0.04,7.02,0.71,5
01:09.9,0,0,0,0,0,1.53,10.2,5.3,8.5
01:10.0,0,0,0,0,0,1.8,12.36,10.24,9.3
01:10.2,0,0,0,0,0,0.98,9.38,9.18,5
01:10.4,0,0,0,0,0,2,7.77,13.42,8.8
01:10.5,0,0,0,0,0,0.75,9.18,5.37,9.3
01:10.7,0,0.05,0,1.22,1.28,0.67,9.14,6.16,5
01:10.8,0,2.31,0.94,3.83,7.07,0.67,9.26,5.96,8.8
01:10.9,1.3,5.71,5.15,2.86,15.02,0.82,9.26,6.39,9.2
01:11.1,3.85,18.69,18.93,0,41.47,0.39,8.75,7.22,5
01:11.2,5.52,27.92,23.38,0,56.81,-0.08,8.12,7.1,8.6
01:11.3,6.87,38.06,22.01,0,66.95,-0.04,8.16,7.45,9.1
01:11.5,6.73,46.57,8.18,0,61.48,-0.16,8.83,8.24,4.9
01:11.6,3.55,47.2,0,0,50.76,0.63,11.14,8.9,8.8
01:11.7,0.07,17.57,0,0,17.64,-0.35,4.31,10.08,9.1
01:11.9,0,0.64,0,0,0.64,1.61,7.96,4.79,5
01:12.1,0,0.14,0,0,0.14,1.92,10.67,7.61,8.8
01:12.2,0,0.14,0,0,0.14,0.75,10.94,9.57,9.2
01:12.4,0,0,0,0,0,1.49,8.71,10.16,5
01:12.5,0,0,0,0,0,1.37,10.79,3.77,8.5
01:12.6,0,0,0,0,0,0.75,9.38,5.57,9.2
01:12.8,0,0.53,0.45,1.18,2.16,1.14,9.26,6.2,5
01:12.9,0.06,3.28,4.14,2.19,9.68,1.14,9.06,6.32,8.8
01:13.0,2.82,7.02,16.97,0.12,26.94,0.98,8.9,6.43,9.2
01:13.2,6.59,19.67,22.92,0,49.18,1.45,8.94,6.59,5.1
01:13.3,19.52,25.87,19.48,0,64.86,1.33,8.87,6.63,8.7
01:13.4,26.82,30.93,7.52,0,65.27,1.84,9.61,6.83,9.3
01:13.6,31.02,35.29,0.64,0,66.94,1.26,8.94,7.65,5
01:13.8,28.16,36.6,0,0,64.77,1.33,10.51,8.28,8.5
01:13.9,19.06,26.24,0,0,45.29,1.06,8.51,9.02,9.2
01:14.1,0,0,0,0,0,-2.51,5.33,0.04,5
01:14.2,0,0,0,0,0,-0.27,10.28,4.16,8.8
01:14.3,0,0,0,0,0,1.57,11.73,8.47,9.1
01:14.5,0,0,0,0,0,-2.24,9.49,12.08,5
01:14.6,0,0,0,0,0,2.43,6.28,6.86,8.8
01:14.7,0,0,0,0,0,0.67,8.98,5.81,8.9
01:14.9,0,0,0,1.17,1.17,0.63,9.26,5.96,5.1
01:15.0,0,1.55,1.3,4.37,7.22,0.43,9.3,6,8.5
01:15.1,0.54,3.81,5.49,7.09,16.93,0.75,9.14,6,9.2
01:15.3,3.28,6.99,18.84,4.64,33.75,0.59,10.12,6.75,5
01:15.5,7.33,18.8,22.34,0.38,48.84,1.53,8.63,6.71,8.8
01:15.6,21.84,25.17,17.33,0,64.34,1.45,9.77,6.79,9.3
01:15.8,28.98,31.38,3.26,0,63.63,0.9,8.2,7.3,5
01:15.9,28.91,34.79,0,0,63.7,1.26,10.59,8.08,8.8
01:16.0,18.96,24.02,0,0,42.98,1.22,8.83,8.75,9.3
01:16.2,0,0,0,0,0,-0.24,5.3,2,5
01:16.3,0,0,0,0,0,0.31,8.51,6.16,8.5
